ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	3608.08217347342	3608.08217347342	
1	3628.8512237199925	3628.8512237199925	
2	3636.714166703204	3636.714166703204	
3	3643.8072912684306	3643.8072912684306	
4	3650.4338038410656	3650.4338038410656	
5	3662.4082488708377	3662.4082488708377	
6	3667.148579095526	3667.148579095526	
7	3678.801432134341	3678.801432134341	
8	3683.960810658927	3683.960810658927	
9	3693.451911635401	3693.451911635401	
10	3693.1710375424996	3693.1710375424996	
