ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	3743.8526675682356	3743.8526675682356	
1	3743.253083494148	3743.253083494148	
2	3746.575196431296	3746.575196431296	
3	3746.395983132842	3746.395983132842	
4	3745.3793623563824	3745.3793623563824	
5	3745.146324244744	3745.146324244744	
6	3748.1741381894367	3748.1741381894367	
7	3746.648797583289	3746.648797583289	
8	3748.236841149422	3748.236841149422	
9	3745.8474007139175	3745.8474007139175	
10	3750.553413483412	3750.553413483412	
